,School Name,Locality,City,Phone Number,Details
139,Bhavan Vidyalaya," Near Market, Sector 15 ","Panchkula - 134113, Haryana, India"," (0172)-2592509, 2593438
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
140,BKM Vishvas School, Sector 9 ,"Panchkula - 134108, Haryana, India"," (0172)-2584991, 2585991
                          ","['Play - Class VIII', 'CBSE Board', 'Private School', 'Co-Educational School']"
141,Blooms Playway School," Chaudary Complex Rally Village, Sector 12-A ","Panchkula - 134112, Haryana, India"," (0172)-6543621
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
142,Blue Bird High School, Sector 16 ,"Panchkula - 134108, Haryana, India"," (0172)-2564822, 2567273","['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
143,BN Senior Secondary School, Sector 12-A ,"Panchkula - 134112, Haryana, India", (0172)-2564543,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
144,Bragnam - Shiwalik," Shiwalik, Panjera ","Panchkula - 174101, Haryana, India","  904145002
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
145,BV High School," Rattepur, Pinjore ","Panchkula - 134102, Haryana, India"," (01733)-231536
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1994']"
146,Chaman Lal DAV Senior Public School, Sector 11 ,"Panchkula - 134112, Haryana, India"," (0172)-2561295
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
147,Chitkara International School, Sector 28 ,"Panchkula - 134108, Haryana, India","  8288099490, 8288099491
                          ","['Kindergarten - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
148,City Heart Middle School, Sector 10 ,"Panchkula - 134116, Haryana, India"," (0172)-2569599
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
149,Darshan Academy," Kirpal Ashram, Old Kasuli Road, Village- Khera Sita-Ram, Kalka ","Panchkula - 133302, Haryana, India", (01733)-329797,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
150,DAV Police Public School, Police Lines ,"Panchkula - 134116, Haryana, India","  8699014136
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
151,DAV Senior Public School - Surajpur," BCW Surajpur, Tehsil - Kalka ","Panchkula - 133301, Haryana, India"," (0171)-2262540
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
152,DAV Senior Secondary School, Sector 8 ,"Panchkula - 134109, Haryana, India", (0172)-4668449,"['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
153,DC Model Senior Secondary School, Sector 7 ,"Panchkula - 134109, Haryana, India", (0172)-2596464,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
154,Delhi Public School - DPS Panchkula," Ishar Nagar, Himshikha, Pinjore ","Panchkula - 134102, Haryana, India"," (01733)-266842, 266843, 266844, 266845, 266694","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
155,Delhi Public Senior School - DPSS," Sector 7

 ","Panchkula, Haryana, India","  9216513222
                          ","['Nursery - Kindergarten', 'Private School', 'Co-Educational School']"
156,Dikshant Global School, Sector 12 ,"Panchkula - 134112, Haryana, India", (0172)-6530664,"['Nursery - Class V', 'Private School', 'Co-Educational School']"
157,Doon Public School, Sector 21 ,"Panchkula - 134113, Haryana, India"," (0172)-2590514, 2570897, 2583097","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
158,Eagle Primary School," Rettpur, Pinjore ","Panchkula - 134102, Haryana, India", (01733)-231284,"['Nursery - Class V', 'CBSE Board', 'Private School', 'Co-Educational School']"
159,Firstep Montessori School," School Plot 2, Sector 7 ","Panchkula - 134109, Haryana, India"," (0172)-24624791, 2597791
                          ","['Play - Nursery', 'Private School (Montessori)', 'Co-Educational School']"
160,Gaurav Middle School," 271, Abheypur, Industrial Area Phase 1 ","Panchkula - 134113, Haryana, India", (0172)-2593063,"['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
161,Gayatri Middle School, Ramgarh ,"Panchkula - 134111, Haryana, India","  9217747085
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
162,Government Senior Secondary School - GSSS Bargodam, Bargodam ,"Panchkula - 134102, Haryana, India", (0172)-269553,"['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
163,Government Senior Secondary School - GSSS Barwala, Barwala ,"Panchkula - 134118, Haryana, India","  9815691761
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
164,Government Senior Secondary School - GSSS Basaulan, Basaulan ,"Panchkula - 134109, Haryana, India","  9896133478
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
165,Government Senior Secondary School - GSSS Bhareri," Bhareli, Barwala ","Panchkula - 134118, Haryana, India","  9876043012
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
166,Government Senior Secondary School - GSSS Bitna," Bitna, Pinjore

 ","Panchkula - 134118, Haryana, India", (0172)-2555228,"['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
167,Government Senior Secondary School - GSSS Chikan," Chikan, Pinjore

 ","Panchkula - 134102, Haryana, India","  9256013799
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
168,Government Senior Secondary School - GSSS Hangola, Hangola ,"Panchkula - 134204, Haryana, India","  9466763626
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
169,Government Senior Secondary School - GSSS Kalka, Kalka ,"Panchkula - 133302, Haryana, India"," (01733)-221070
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
170,Government Senior Secondary School - GSSS Karanpur," Karanpur, Pinjore ","Panchkula - 134102, Haryana, India", (01733)-2640509,"['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
171,Government Senior Secondary School - GSSS Khatauli, Khatauli ,"Panchkula, Haryana, India","  9416352324
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
172,Government Senior Secondary School - GSSS Mallah, Mallah ,"Panchkula - 134102, Haryana, India", (0172)-318952,"['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
173,Government Senior Secondary School - GSSS Mandhana, Mandhana ,"Panchkula, Haryana, India","  9465124398, 9465124399
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
174,Government Senior Secondary School - GSSS Morni Hills, Morni Hills ,"Panchkula, Haryana, India","  9466661828
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
175,Government Senior Secondary School - GSSS Pinjore, Pinjore ,"Panchkula, Haryana, India","  9416440762
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
176,Government Senior Secondary School - GSSS Raipur Rani," Raipur Rani
 ","Panchkula, Haryana, India","  9896586473
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
177,Government Senior Secondary School - GSSS Rajjipur, Rajjipur ,"Panchkula, Haryana, India","  9217862574, 9466049151
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
178,Gyandeep Public School, Sector 18 ,"Panchkula - 134113, Haryana, India"," (0172)-2598210, 2596067
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
179,Hallmark Public School, Sector 15 ,"Panchkula - 134112, Haryana, India"," (0172)-2593994, 2593093","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2004']"
180,Hansraj Public School," Sector 6
 ","Panchkula - 134109, Haryana, India"," (0172)-2573800, 2574800","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1950']"
181,Haryana High School, Sector 10 ,"Panchkula - 134109, Haryana, India"," (0172)-2561742, 2561731, 2560945
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
182,Hindu Girls Senior Secondary School, Kalka ,"Panchkula - 133302, Haryana, India"," (01733)-220459
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Girls Only School']"
183,Hindu Middle School, Abheypur ,"Panchkula - 134113, Haryana, India"," (0172)-3210208
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
184,HMT EES Senior Secondary School," HMT Colony, Pinjore ","Panchkula - 134101, Haryana, India"," (01733)-225634, 225500
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
185,Holy Child School, Morni Road ,"Panchkula - 134205, Haryana, India"," (0173)-3255012, 3255013, 3255014","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1995']"
186,Jainendra Public School," Sector 1, (Zirakpur-Kalka Highway) 
 ","Panchkula - 134108, Haryana, India"," (0172)-2584571, 2584575, 2560357, 2567541
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
187,Jawahar Navodaya Vidyalaya - JNV Mouli," Mouli, Near Barwala ","Panchkula - 134118, Haryana, India"," (01734)-258450, 209504","['Class V - Class XII', 'CBSE Board', 'Government School (Navodaya Vidyalaya)', 'Co-Educational School', 'Established in 1995']"
188,JP Gurukul High School," 609, B2, Bitna Village Road, Near JP Gurukul School, Pinjore ","Panchkula - 134104, Haryana, India"," (01733)-230444
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
189,JPA Toddlers' World Preschool, Sector 10 ,"Panchkula - 134109, Haryana, India"," (0172)-2567821, 4677821
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
190,Kamal High School, Pinjore ,"Panchkula - 134102, Haryana, India"," (01733)-230235
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
191,Kendriya Vidyalaya - KV Bhanu," ITBP, BTC Bhanu Camp ","Panchkula - 134103, Haryana, India", (01733)-258151,"['Senior Secondary School', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School', 'Established in 1995']"
192,Kendriya Vidyalaya - KV Pinjore," GC, CRPF, Pinjore ","Panchkula - 134104, Haryana, India", (01733)-266345,"['Senior Secondary School', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
193,Kidzee - Peer Muchalla," Shiva Foundation Charitable Trust Bollywood Heights Road, Opposite Tricity Mall ","Panchkula - 140603, Haryana, India","
","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
194,Kidzee - Village Bhagwanpur," Amravati Enclave, Village Bhagwanpur ","Panchkula - 134107, Haryana, India","  9814015297
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
195,Kidzee Parents and Guardians," Nursery School Site, Opposite House No. 475, Sector 12-A ","Panchkula - 134112, Haryana, India"," (0172)-6451645
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
196,Kidzee Willow Tree Preschool," Opp. House No. 475, Sector 12A ","Panchkula - 134109, Haryana, India","  9815009933
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
197,Kimberley International School," Samnwa, P.O. Hangola, NH-73, Haryana, India. Near Swami Devi Dyal Institute of Engineering and Technology, Barwala ","Panchkula - 134109, Haryana, India","  8685000201, 8685000222
                          ","['Nursery - Class XII', 'Private School (International)', 'Co-Educational School']"
198,Little Blooms - Pre-School (Play Way and Day Care), Sector 21 ,"Panchkula - 134116, Haryana, India", (0172)-4674942,"['Play School', 'Private School', 'Co-Educational School']"
199,Little Flower Convent School, Sector 14 ,"Panchkula - 134113, Haryana, India"," (0172)-2574527
                          ","['Class V - Class X', 'ICSE/ISC Board', 'Private School', 'Co-Educational School']"
200,Little Kingdom Preparatory School," 1810, Sector 15 ","Panchkula - 134113, Haryana, India","  9417192811
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
201,Little Millennium - Sector 20," Opposite Tricity Homes, Peer Muchalla, Sector 20 ","Panchkula - 134116, Haryana, India", (0172)-6543000,"['Play - Nursery', 'Private School', 'Co-Educational School']"
202,Little Millennium - Sector 7," Opposite H.No. 520, Sector 7 ","Panchkula - 134109, Haryana, India", (0172)-6501222,"['Play - Nursery', 'Private School', 'Co-Educational School']"
203,London Kids Preschool," SCO 2, Pinjore Baddi Highway, Aanchal Vihar Colony, Adjoining IDBI Bank, Lohgarh, Pinjore ","Panchkula - 134102, Haryana, India","  9996111023
                          ","['Play School', 'Private School', 'Co-Educational School']"
204,Lord Middle School, Sector 19 ,"Panchkula - 134109, Haryana, India"," (0172)-2569098
                          ","['Primary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
205,Maha Anand Senior Secondary School, Raipur Rani ,"Panchkula, Haryana, India","  9416632399
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
206,Manav Mangal School, Sector 11 ,"Panchkula - 134108, Haryana, India"," (0172)-5066667, 5066668
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
207,Mother's Pride," Nursery Plot, B-Road, ADJ to Police Post, Sector 21 ","Panchkula - 134120, Haryana, India"," (0172)-2571244, 3294738","['Play School', 'Private School', 'Co-Educational School']"
208,Mount Litera Zee School," Sector 14, Panchkula Extn- 2, 
Panchkula-Barwala Highway, NH-73,
Near Kot ","Panchkula - 134118, Haryana, India", (01733)-258002,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
209,MRA Modern Public School, Sector 7 ,"Panchkula - 134108, Haryana, India"," (0172)-259630, 4029701
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
210,My Pogo Preparatory Playway Activity School," #52-53, Mamta Enclave, Behind Nimantran Banquet Hall, Zirakpur-Kalka Road ","Panchkula - 140603, Haryana, India","  9988778278
                          ","['Play School', 'Private School', 'Co-Educational School']"
211,Nav Bal Niketan Public High School, Sector 12-A ,"Panchkula - 122001, Haryana, India", (0172)-2567577,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
212,Nav Bhartia Middle School, Barwala ,"Panchkula - 134118, Haryana, India", (01733)-257027,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
213,New India High School," Rathpur Colony, Pinjore ","Panchkula - 134104, Haryana, India", (01733)-230888,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
214,New India Public School, Sector 15 ,"Panchkula - 134109, Haryana, India"," (0172)-2565300
                          ","['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
215,New Indian Senior Secondary School, Sector 15 ,"Panchkula - 134115, Haryana, India"," (0172)-2594373, 2565300
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
216,Nigania High School," Shahjahanpur, Raipur Rani ","Panchkula - 134204, Haryana, India","  9216751156
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
217,Ningania Vidya Mandir," Village- Shajanpur, P.O. Raipur Rani ","Panchkula - 134109, Haryana, India"," (0172)-2254297
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
218,Noble High School," Vishavkarma Colony, Pinjore ","Panchkula - 134102, Haryana, India", (01733)-230784,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
219,Parwati Middle School, Bhogpur ,"Panchkula - 134205, Haryana, India"," (0172)-266233
                          ","['Primary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
220,PC Secondary School, Pinjore ,"Panchkula - 134107, Haryana, India", (01733)-230436,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
221,Prakash High School, Meheshpur ,"Panchkula - 134116, Haryana, India"," (0172)-2581781
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
222,R.B. Middle School, Kharnwali ,"Panchkula - 144001, Haryana, India", (0172)-269048,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
223,R.K. Middle School, Pinjore ,"Panchkula - 134102, Haryana, India"," (0172)-230154
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
224,R.S. Middle School, Kalka ,"Panchkula - 134102, Haryana, India"," (0172)-220370
                          ","['High Secondary School', 'Private School', 'Co-Educational School']"
225,S.D. High School, Kalka ,"Panchkula - 133302, Haryana, India"," (0172)-221060
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
226,Saint Soldier's Divine Public School, Sector 16 ,"Panchkula, Haryana, India"," (0172)-2565184, 2565645","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
227,Saket High School, Chandimandir ,"Panchkula - 134107, Haryana, India"," (0172)-2589020
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
228,Sapient Senior Secondary Public School," Nalagarh Road, Pinjore ","Panchkula - 134102, Haryana, India","  9896015767
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
229,Saraswati High School," Himshikha, Pinjore ","Panchkula - 134102, Haryana, India", (01733)-266103,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
230,Satluj Public School, Senior Wing:- Sector 4 ,"Panchkula - 134112, Haryana, India", (0172)-2560167,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
231,Saupin's School," Behind Prachin Shiv Mandir, Sector 9 ","Panchkula - 134109, Haryana, India","  9855512798, 8557993798","['Play - Class X', 'ICSE/ISC Board', 'Private School', 'Co-Educational School', 'Established in 1999']"
232,Shemrock Bliss," 653/B-1, Ratpur Colony, Pinjore ","Panchkula - 134102, Haryana, India"," (01733)-230945
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
233,Shemrock Smiles," 7, Disha Arcade, Mansa Devi Complex Road ","Panchkula - 134109, Haryana, India", (0172)-3292631,"['Play - Nursery', 'Private School', 'Co-Educational School']"
234,Shishu Niketan School," Mansa Devi Complex, Sector 5 ","Panchkula - 134109, Haryana, India"," (0172)-2556036, 2555396
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
235,Sikh Girls High School, Kalka ,"Panchkula - 133302, Haryana, India"," (0172)-220869
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Girls Only School']"
236,Smart Kids," Baltana, Govind VIhar, Sector 19 ","Panchkula - 140603, Haryana, India","  9988838368
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
237,SMD Little Champ School," Sector 2, Near Ram Mandir ","Panchkula - 134109, Haryana, India"," (0172)-2573000, 2587444","['Play - Nursery', 'Private School', 'Co-Educational School']"
238,Sophia Convent School," NH-22, Chandigarh Shimla Road ","Panchkula - 133302, Haryana, India"," (01733)-220138
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
239,SportyBeans," Eurokids, Sector 9 ","Panchkula - 134108, Haryana, India","  7837069389
                          ","['Private School', 'Co-Educational School']"
240,St. Soldier's School, Sector 16 ,"Panchkula - 134113, Haryana, India"," (0172)-2565184, 2565645, 2560471
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
241,St. Soldier’s School, Sector 16 ,"Panchkula - 134113, Haryana, India"," (0172)-2565184, 2565645, 2560471
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
242,St. Teresa's Convent School, Sector 25 ,"Panchkula - 134112, Haryana, India","  9256908170, 7696515777
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
243,St. Vivek Study Hall Middle School, Kalka ,"Panchkula - 133302, Haryana, India", (0172)-220803,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
244,St. Vivekanand Millennium School, HMT Township ,"Panchkula - 134101, Haryana, India", (01733)-263960,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
245,St. Xavier's High School," Near GH-54, Sector 20 ","Panchkula - 134116, Haryana, India"," (0172)-2551844, 2566577
                          ","['Nursery - Class X', 'ICSE/ISC Board', 'Private School', 'Co-Educational School']"
246,Stone Brook High School, Kalka ,"Panchkula - 134102, Haryana, India"," (0172)-221056
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
247,Susan Middle School, Garhi Kotaha ,"Panchkula, Haryana, India","  9416195093
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
248,The Big Apple Play School, Sector 12 ,"Panchkula - 134109, Haryana, India"," (0172)-6573706
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
249,The British School - Sector 12, Sector 12 ,"Panchkula - 134109, Haryana, India"," (0172)-2564400, 2565400
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
250,Ajit Karam Singh International Public School - AKSIPS Mohali, Sector 65 ,"Mohali - 160061, Punjab, India"," (0172)-2234733, 2212000
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
251,Anee's  School," VIP Enclave, VIP Road, Opposite Penta Homes ","Mohali - 140603, Punjab, India","  9041337766, 9041447766
                          ","['Play School', 'Private School', 'Co-Educational School']"
252,Anee's School," Site No. 1, Sector 69
 ","Mohali - 160059, Punjab, India"," (0172)-6542836
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
253,APJ Smart School, Kharar ,"Mohali - 140103, Punjab, India", (0160)-3012960,"['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
254,Ashmah International School," Sector 70, Near H.No. 115, S.A.S. Nagar ","Mohali - 160071, Punjab, India"," (0172)-4628139, 4610399","['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
255,Bachpan A Play School," Plot No. 95, AKS Colony, Behind Lucky Dhaba, Patiala Road, Zirakpur ","Mohali - 140603, Punjab, India", (01762)-509690,"['Play - Kindergarten', 'Private School', 'Co-Educational School']"
256,Bachpan A Play School - Kurali," Siswan Road, Near Radha Swami Satsang Bhawan, Ward No. 7, Kurali ","Mohali - 140103, Punjab, India","  9988926283, 9780952539, 9872299696
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
257,Bachpan A Play School - Niholka Road," Shivalik Academy, Opposite Veterinary Hospital, Niholka Road ","Mohali - 140103, Punjab, India","  9417355174, 9417407307
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
258,Bachpan A Play School - Sahibzada Ajit Singh Nagar," Gulabassi Road, Derabassi, District Sahibzada Ajit Singh Nagar ","Mohali - 140603, Punjab, India","  9996642444, 9876656641
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
259,Bhartiya Public School," Dhanoni Road, Near Railway Crossing, Dera Bassi ","Mohali - 140507, Punjab, India"," (01762)-283636
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2016']"
260,Birla Open Minds Preschool," C-124, Phase 8, Industrial Area, Landmark: SASIIT College ","Mohali - 160055, Punjab, India"," (0172)-6280373661, 6280361081","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
261,Blossom Convent School," Dashmesh Nagar, Old Shiv Mandir Road, Near Ramlila Ground, Naya Gaon ","Mohali - 160103, Punjab, India","  8557914405
                          ","['Nursery - Class VIII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2009']"
262,Blossoms Convent School," (Behind PGI and Near Church), Dashmesh Nagar, Nayagaon ","Mohali - 160103, Punjab, India","  9216027995
                          ","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2009']"
263,BMD Public School," Phase 9, Sector 63, Near Mohali Stadium ","Mohali - 160047, Punjab, India"," (0172)-5090419, 5063419
                          ","['Private School', 'Co-Educational School']"
264,Bragnam Lexicon,"  9256927554
                          ",,Details:,"['Play - Kindergarten', 'Private School', 'Co-Educational School']"
265,Brainworks," House No. 27, Near Shani Mandir, Opposite Fort Resort Dhakoli, Zirakpur ","Mohali - 140603, Punjab, India","  9501051197, 8146585797
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
266,Brookfield International School," Sheikhpura, New Chandigarh, Kurali-Siswan Road ","Mohali - 140110, Punjab, India","  9066790662
                          ","['Play - Class VII', 'CBSE Board', 'Private School', 'Co-Educational School']"
267,Budha Dal Public School," Patiala Road, Zirakpur ","Mohali - 140603, Punjab, India","  9041075012, 8699045014, 9041025020
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
268,Career Point Gurukul," Landra-Banur Road, NH-16, Village- Tangori ","Mohali - 140055, Punjab, India", (0160)-2050075,"['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
269,Century Public School," Near PEC, Sector 12, Naya Gaon, SAS Nagar ","Mohali - 160103, Punjab, India"," (0172)-2785602
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
270,Chandigarh Public School," 4, Shyam Nagar, Opposite Tribune Colony, Baltana ","Mohali - 140603, Punjab, India", (01762)-562130,"['Class V - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
271,Clay Preschool," 2116, Sector 125, Sunny Enclave, Near Knowledge Bus School, Kharar ","Mohali - 140301, Punjab, India","  7009327910
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
272,Dashmesh Khalsa Public School, Phase 3-B-1 ,"Mohali - 160059, Punjab, India", (0172)-2260453,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1981']"
273,DAV Public Senior Secondary School," Phase X, Sector 64, SAS Nagar ","Mohali - 160064, Punjab, India"," (0172)-2232299
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
274,Doon International School," Sector 69, SAS Nagar ","Mohali - 160062, Punjab, India"," (0172)-2216700, 2216842, 2216620","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
275,DPS Play School," H.No. 19, Opposite Pentahomes, Near Bristol Resort, VIP Road Zirakpur ","Mohali - 140603, Punjab, India","  9888953303
                          ","['Play School', 'Private School', 'Co-Educational School']"
276,EuroKids - Mohali," Adjacent to Cheema Medical Complex, Phase IV, SAS Nagar ","Mohali - 160055, Punjab, India","  9501177772
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
277,Flairz Play School," #53, Mamta Enclave, Dhakoli ","Mohali - 160104, Punjab, India","  8126397438
                          ","['Play - Kindergarten', 'Private School', 'Co-Educational School']"
278,Gem Public Senior Secondary School," Phase 3B2, S.A.S. Nagar ","Mohali - 160060, Punjab, India"," (0172)-5090720
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
279,Genius International Public School," NH-21, Near Gurudwara Solkhian, Roopnagar ","Mohali - 140101, Punjab, India"," (01881)-2400400
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2004']"
280,Genius Public School - GPS, Sector 69 ,"Mohali - 160062, Punjab, India","  9914038208
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
281,Gian Jyoti Global School," Phase 2, SAS Nagar ","Mohali - 160055, Punjab, India", (0172)-4000518,"['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1974']"
282,Golden Bells Public School, Sector 77 ,"Mohali - 160071, Punjab, India", (0160)-2258449,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1984']"
283,Green Field Smart School," Sector 59, Phase V ","Mohali - 160059, Punjab, India", (0172)-2264757,"['Play - Class X', 'Private School', 'Co-Educational School']"
284,Green Jyoti Model School," Main Road, Plot No. 167, Sector 55 , Village - Pulsora ","Mohali - 160059, Punjab, India","  9464120624, 8283838294
                          ","['CBSE Board', 'Private School', 'Co-Educational School']"
